,superkingdom,,,phylum,,,genus
Bacteria,8253,,Chlorophyta,707,,Cucurbita,985
Eukaryota,5921,,Planctomycetes,218,,unknown,3018
Viruses,2952,,Cyanobacteria,548,,Ostreococcus,318
Archaea,1393,,Proteobacteria,1120,,Vibrio,688
,,,Uroviricota,2000,,Pseudomonas,277
,,,Bacteroidetes,1633,,Aeromonas,90
,,,Basidiomycota,214,,Sporisorium,72
,,,Firmicutes,1434,,Candidatus,312
,,,Apicomplexa,503,,Archaeoglobus,159
,,,Euryarchaeota,381,,Roseiflexus,954
,,,Streptophyta,1362,,Helianthus,130
,,,Pisuviricota,33,,Physcomitrium,89
,,,Chloroflexi,967,,Ooceraea,1013
,,,Ascomycota,625,,Rhinatrema,42
,,,Peploviricota,257,,Theileria,137
,,,Rhodophyta,514,,Neisseria,490
,,,Arthropoda,1442,,Aspergillus,52
,,,Bacillariophyta,246,,Leptospira,129
,,,Chlorobi,157,,Cyanidioschyzon,363
,,,Actinobacteria,731,,Cynara,301
,,,Euglenozoa,165,,Tribolium,484
,,,Chordata,303,,Nitrososphaera,137
,,,Crenarchaeota,382,,Thalassiosira,155
,,,Spirochaetes,178,,Actinomyces,373
,,,Deinococcus-Thermus,155,,Ciona,300
,,,Candidatus,73,,Leishmania,86
,,,unknown,397,,Acidithiobacillus,47
,,,Fusobacteria,203,,Xenopus,21
,,,Mollusca,357,,Limnochorda,62
,,,Verrucomicrobia,82,,Methanocella,167
,,,Nematoda,221,,Rubrobacter,144
,,,Thermotogae,140,,Nymphaea,27
,,,Chlamydiae,89,,Beta,238
,,,Aquificae,72,,Brachyspira,44
,,,Thaumarchaeota,134,,Deinococcus,138
,,,Tenericutes,80,,Pyrobaculum,18
,,,Gemmatimonadetes,161,,Rudivirus,147
,,,Lentisphaerae,63,,Olea,161
,,,Evosea,9,,Daucus,157
,,,Nitrospirae,51,,Actinopolyspora,110
,,,Platyhelminthes,92,,Crassostrea,221
,,,Negarnaviricota,9,,Bifidobacterium,418
,,,Kitrinoviricota,8,,Salinisphaera,223
,,,Artverviricota,3,,Akkermansia,121
,,,,,,Acidilobus,11
,,,,,,Caenorhabditis,121
,,,,,,Colletotrichum,100
,,,,,,Synechococcus,132
,,,,,,Legionella,75
,,,,,,Malassezia,76
,,,,,,Prosthecochloris,90
,,,,,,Chlamydia,44
,,,,,,Solanum,88
,,,,,,Pyricularia,76
,,,,,,Acyrthosiphon,92
,,,,,,Sedimentisphaera,61
,,,,,,Methanocaldococcus,61
,,,,,,Drosophila,140
,,,,,,Podarcis,14
,,,,,,Papaver,134
,,,,,,Ktedonosporobacter,288
,,,,,,Methanosarcina,158
,,,,,,Gemmata,211
,,,,,,Gallus,29
,,,,,,Cercospora,157
,,,,,,Nitrospira,56
,,,,,,Botrytis,46
,,,,,,Stanieria,158
,,,,,,Brassica,72
,,,,,,Methanobrevibacter,29
,,,,,,Modestobacter,8
,,,,,,Phaeodactylum,71
,,,,,,Zymoseptoria,269
,,,,,,Erpetoichthys,32
,,,,,,Scleropages,37
,,,,,,Apis,294
,,,,,,Fervidicoccus,55
,,,,,,Frankia,32
,,,,,,Quercus,20
,,,,,,Cryptococcus,78
,,,,,,Fusarium,88
,,,,,,Plasmodium,123
,,,,,,Mariprofundus,35
,,,,,,Coffea,15
,,,,,,Rhopalosiphum,67
,,,,,,Punica,18
,,,,,,Pomacea,43
,,,,,,Gadus,59
,,,,,,Astyanax,13
,,,,,,Asparagus,113
,,,,,,Dictyostelium,6
,,,,,,Octopus,68
,,,,,,Elaeis,23
,,,,,,Microcaecilia,19
,,,,,,Bdellovibrio,25
,,,,,,Phyllostomus,2
,,,,,,Betta,31
,,,,,,Oncorhynchus,62
,,,,,,Strigops,5
,,,,,,Musa,58
,,,,,,Desulfovibrio,51
,,,,,,Methanopyrus,30
,,,,,,Chanos,3
,,,,,,Egicoccus,11
,,,,,,Cottoperca,16
,,,,,,Citrus,26
,,,,,,Aythya,3
,,,,,,Bradymonas,52
,,,,,,Streptomyces,36
,,,,,,Ictalurus,19
,,,,,,Schistosoma,51
,,,,,,Oryzias,9
,,,,,,Gossypium,15
,,,,,,Egibacter,23
,,,,,,Spodoptera,20
,,,,,,Esox,4
,,,,,,Trichoplusia,27
,,,,,,Monodelphis,10
,,,,,,Sarcophilus,8
,,,,,,Ustilago,24
,,,,,,Salarias,5
,,,,,,Vitis,6
,,,,,,Perca,6
,,,,,,Thermococcus,12
,,,,,,Mus,11
,,,,,,Denticeps,9
,,,,,,Lepisosteus,2
,,,,,,Calypte,2
,,,,,,Populus,8
,,,,,,Xiphophorus,4
,,,,,,Euzebya,7
,,,,,,Manihot,19
,,,,,,Carassius,10
,,,,,,Thermogutta,14
,,,,,,Oryctolagus,1
,,,,,,Cynoglossus,9
,,,,,,Sphaeramia,6
,,,,,,Sesamum,4
,,,,,,Cucumis,10
,,,,,,Methanobacterium,12
,,,,,,Takifugu,2
,,,,,,Gopherus,6
,,,,,,Thermus,1
,,,,,,Gouania,2
,,,,,,Ornithorhynchus,2
,,,,,,Nitrosopumilus,2
,,,,,,Anas,1
,,,,,,Equus,1
,,,,,,Clupea,1
