species,type,note,link
Clostridium bolteae,harmful,,https://www.researchgate.net/publication/336919730_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Clostridium indolis,harmful,,https://www.researchgate.net/publication/336919731_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Clostridium ramosum,harmful,,https://www.researchgate.net/publication/336919732_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Clostridium difficile,harmful,,https://www.researchgate.net/publication/336919733_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Clostridium perfringens,harmful,,https://www.researchgate.net/publication/336919734_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Fusobacterium nucleatum subsp. nucleatum,harmful,,https://www.researchgate.net/publication/336919735_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Actinobacteria,harmful,"not sure, might not be reliable",https://www.frontiersin.org/articles/10.3389/fmicb.2016.01144/full
"Firmicutes (Faecalibacterium praunsnitzii, Clostridium clusters XIVa and IV)",harmful,"not sure, might not be reliable",https://www.frontiersin.org/articles/10.3389/fmicb.2016.01145/full
Proteobacteria (escherichia coli),harmful,"not sure, might not be reliable",https://www.frontiersin.org/articles/10.3389/fmicb.2016.01146/full
Faecalibacterium,harmful,"not sure, might not be reliable",https://www.frontiersin.org/articles/10.3389/fmicb.2016.01147/full
Ruminococcus,harmful,"not sure, might not be reliable",https://www.frontiersin.org/articles/10.3389/fmicb.2016.01148/full
Clostridium,harmful,"not sure, might not be reliable",https://www.frontiersin.org/articles/10.3389/fmicb.2016.01149/full
Lachnospiraceae,harmful,"not sure, might not be reliable",https://www.frontiersin.org/articles/10.3389/fmicb.2016.01150/full
Eubacteriaceae,harmful,"not sure, might not be reliable",https://www.frontiersin.org/articles/10.3389/fmicb.2016.01151/full
Bacteroidetes,harmful,"not sure, might not be reliable",https://www.frontiersin.org/articles/10.3389/fmicb.2016.01152/full
Alistipes,harmful,"not sure, might not be reliable",https://www.frontiersin.org/articles/10.3389/fmicb.2016.01153/full
Akkermansia,harmful,"not sure, might not be reliable",https://www.frontiersin.org/articles/10.3389/fmicb.2016.01154/full
Sutterellaceae,harmful,"not sure, might not be reliable",https://www.frontiersin.org/articles/10.3389/fmicb.2016.01155/full
Enterobacteriaceae,harmful,"not sure, might not be reliable",https://www.frontiersin.org/articles/10.3389/fmicb.2016.01156/full
Enterococcus faecalis ATCC700802,beneficial,,https://www.researchgate.net/publication/336919730_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Lactobacillus casei subsp. casei JCM1134,beneficial,,https://www.researchgate.net/publication/336919731_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Lactobacillus casei subsp. rhamnosus,beneficial,,https://www.researchgate.net/publication/336919732_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Lactobacillus gasseri JCM1130,beneficial,,https://www.researchgate.net/publication/336919735_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
